sample	target	subject	model	16	51	168	7	8	167	12	33	61	193	189	62	15	187	18	34	49	1	26	39	80	37	171	60	100	22	28	64	31	186	175	25	185	2	30	24	40	38	65	57	81	32	9	170	180	6	48	195	41	196	142	52	44	43	179	182	166	47	29	63	54	58	191	176	190	42	36	17	11	177	23	194	10	192	27	181	82	21	14	5	184
prel_1	1	0	1	5	6	6	6	8	1	5	6	5	8	5	9	7	NA	8	5	6	8	5	NA	6	NA	5	7	8	7	NA	8	10	NA	8	10	NA	7	9	8	7	7	8	5	6	5	6	6	6	9	7	9	7	8	NA	NA	10	NA	5	NA	NA	NA	6	NA	8	6	7	NA	5	8	5	4	8	7	NA	7	5	5	7	6	8	5	NA	4	10
prel_2	1	0	1	4	5	5	4	5	0	4	6	5	5	7	5	4	NA	6	1	5	4	3	NA	4	NA	4	4	6	5	NA	6	8	NA	5	9	NA	6	5	5	4	5	2	4	3	4	6	4	4	6	8	6	5	6	NA	NA	7	NA	5	NA	NA	NA	3	NA	4	4	6	NA	3	4	4	2	3	4	NA	4	3	4	4	6	6	4	3	4	4
prel_5	1	0	1	4	5	1	2	5	0	3	8	2	6	4	4	4	NA	8	0	5	3	4	NA	5	NA	4	3	7	5	NA	3	9	NA	4	6	NA	2	7	6	3	4	6	3	1	2	3	2	5	6	6	6	5	5	NA	NA	8	NA	5	NA	NA	NA	5	NA	5	4	2	NA	1	9	4	1	4	2	NA	2	4	3	4	5	5	3	6	4	1
prel_6	1	0	1	5	4	4	7	6	0	5	3	3	6	6	7	3	NA	7	1	6	8	5	NA	6	NA	4	5	8	6	NA	5	8	NA	5	8	NA	7	8	5	4	5	4	4	5	4	7	4	6	7	9	8	6	4	NA	NA	8	NA	5	NA	NA	NA	3	NA	8	5	5	NA	2	10	5	1	4	6	NA	5	3	3	7	8	4	4	8	4	3
prel_9	1	0	0	6	6	6	9	10	1	8	10	10	8	7	7	5	NA	9	2	7	9	7	NA	7	NA	4	3	9	7	NA	9	9	NA	9	10	NA	6	9	8	7	7	7	7	7	6	7	6	6	9	9	9	7	7	NA	NA	8	NA	5	NA	NA	NA	6	NA	10	7	7	NA	5	10	8	2	8	9	NA	7	6	6	6	10	8	5	8	5	6
prel_10	1	0	0	6	5	5	9	10	1	8	8	6	7	8	7	6	NA	9	0	7	5	7	NA	7	NA	5	3	9	5	NA	9	9	NA	9	9	NA	3	8	7	6	6	7	6	4	5	7	6	7	9	9	6	6	7	NA	NA	9	NA	5	NA	NA	NA	9	NA	10	5	9	NA	5	4	8	2	9	8	NA	7	4	5	4	9	8	5	7	5	6
prel_13	1	0	0	5	5	6	5	7	1	5	8	4	6	6	6	4	NA	6	2	6	7	4	NA	3	NA	5	3	7	5	NA	5	9	NA	5	8	NA	5	9	6	6	5	7	3	5	2	6	4	4	9	6	6	5	7	NA	NA	6	NA	5	NA	NA	NA	6	NA	9	4	5	NA	2	6	5	1	4	3	NA	4	2	3	5	6	7	4	9	4	2
prel_14	1	0	0	5	5	3	6	7	1	5	8	4	7	4	6	4	NA	9	1	6	6	4	NA	4	NA	4	4	8	6	NA	6	9	NA	7	9	NA	6	8	6	6	5	6	4	6	4	5	3	5	8	8	7	6	7	NA	NA	6	NA	5	NA	NA	NA	6	NA	9	6	3	NA	6	6	6	2	6	4	NA	7	2	4	6	5	7	4	7	5	7
prel_17	1	0	1	4	5	5	3	7	0	7	3	6	5	7	4	4	NA	6	2	5	4	4	NA	5	NA	4	3	9	4	NA	4	9	NA	5	7	NA	4	8	4	4	4	2	3	5	6	5	4	4	7	6	4	5	7	NA	NA	5	NA	5	NA	NA	NA	1	NA	8	5	6	NA	4	4	4	0	6	1	NA	6	2	4	5	5	8	2	6	5	1
prel_18	1	0	0	4	4	5	6	6	0	9	7	4	6	6	6	4	NA	8	3	6	3	5	NA	5	NA	4	4	7	5	NA	7	9	NA	7	9	NA	5	8	6	4	6	4	3	6	6	4	5	7	7	9	4	5	7	NA	NA	8	NA	5	NA	NA	NA	2	NA	10	5	3	NA	6	5	4	1	6	1	NA	4	5	3	7	8	7	2	2	4	6
prel_3	0	0	1	3	5	2	5	6	0	4	2	3	6	4	4	5	NA	7	0	5	7	4	NA	3	NA	4	5	4	5	NA	4	9	NA	4	8	NA	4	7	5	4	5	2	3	2	4	4	3	7	6	6	5	5	3	NA	NA	8	NA	5	NA	NA	NA	3	NA	8	5	3	NA	2	5	2	2	3	2	NA	4	4	4	4	5	4	4	7	4	1
prel_4	0	0	1	4	5	5	3	4	0	3	6	3	7	7	4	4	NA	7	2	5	7	4	NA	5	NA	3	5	7	4	NA	6	9	NA	4	9	NA	4	7	7	3	6	5	3	3	2	4	3	3	8	6	6	6	7	NA	NA	5	NA	5	NA	NA	NA	3	NA	9	4	4	NA	2	10	7	3	4	5	NA	3	3	3	6	7	4	4	6	4	1
prel_7	0	0	1	5	5	2	2	4	0	5	7	2	7	6	4	4	NA	7	0	5	4	5	NA	5	NA	3	7	6	5	NA	3	8	NA	4	9	NA	2	8	7	5	4	7	3	3	3	4	4	3	7	6	5	5	5	NA	NA	5	NA	5	NA	NA	NA	2	NA	4	6	3	NA	2	7	3	1	5	3	NA	6	4	3	3	5	6	3	3	4	1
