sample	subject	297	274	276	294	275	259	298	278	279	299	247	214	293	269	272	260	283	282	287	291	273	268	290	234	211	254	257	235	240	236	216	288	280	300	231	245	246	215	261	212	218	217	253	262	239	244	251	249	252	248	256	232	221	220	238	237	241	243	242	250	258	58	191	176	190	42	36	17	11	177	23	194	10	192	27	181	82	21	14	5	184
prel_11	1	0.5	3.5	3.75	2.25	0	2.75	3.5	1.5	0	5	1	4.75	5	1	3.75	3.25	2.25	2.5	3	3	2.5	4.25	0.75	3.25	0.5	0.75	2.25	0	3.5	4.5	5	3.75	3	0	3.5	3.75	2	4.5	3.5	4.5	4.25	2.75	4.5	1.5	5.75	1.75	1.5	1	3.5	1.5	3.25	0	1.75	0	4.75	1.25	1.25	2.75	0.75	3.25	2.5	4	3	5	3	7	0	1	2	2	3	4	2	4	7	4	5	4	0	4	5
prel_12	1	0.5	4	4.25	2.25	0	3.25	3.5	1.5	0	5.75	1.5	4.75	5.5	1.25	3.25	3.75	2	3	3.25	3.5	3	4	0.5	3	1	0.25	2	0	4.25	5	5	4	3	0	3.5	4.5	2.25	4.25	3	4	4.25	3	4.5	1.75	5.5	1.75	2.25	1	3	2.5	3.25	0	3.75	0.5	4.25	1.75	1.75	3.5	1	3.75	2.75	6	2	4	1	5	3	1	3	3	1	5	6	1	4	4	4	2	6	5	2
prel_13	1	0.75	3.75	3.75	2.25	0	3.5	3.25	1.25	0	5.5	1.25	4.75	5.5	1.25	3.75	4.25	2	2.5	2.75	3	3	4.25	0.75	3	0.5	0.75	2.25	0	5.25	4.5	5.25	4	3	0	3	3.75	1.25	4.25	3.75	4.25	4	2.75	4.5	2	5.5	1.75	2.5	1	3	2.5	3.5	0	3.5	0.5	4.75	1.5	1.5	3.25	1.25	3.5	3.25	7	5	7	2	9	3	2	5	5	4	5	2	3	7	5	5	3	0	5	7
prel_14	1	0.5	4	4.25	2.25	0	2.5	3.25	1.75	0	6.5	1.5	4.5	4.5	1.25	3.5	3.75	2.5	3.25	3	3	3.5	4.25	0.75	3.25	1	0.75	2.25	0	4.75	4.5	5.25	4.25	3	0	3.75	4	2.25	4.5	3.5	4.5	4.25	3.25	4.25	2	5.5	1.75	2.5	1	3.5	2.5	3.5	0	3.5	0.5	4.5	1.75	1.75	3.5	1	4	2.75	6	3	5	3	10	4	2	7	4	2	6	3	2	6	5	4	1	4	4	7
prel_15	1	0.5	4	4.25	2.25	0	2.5	3.25	1.75	0	6.5	1.5	4.5	4.5	1.25	3.5	3.75	2.5	3.25	3	3	3.5	4.25	0.75	3.25	1	0.75	2.25	0	4.75	4.5	5.25	4.25	3	0	3.75	4	2.25	4.5	3.5	4.5	4.25	3.25	4.25	2	5.5	1.75	2.5	1	3.5	2.5	3.5	0	3.5	0.5	4.5	1.75	1.75	3.5	1	4	2.75	7	6	5	4	10	2	1	2	4	4	2	2	2	5	5	6	3	4	4	1
prel_16	1	0.75	3.75	3.75	2.25	0	3.5	3.25	1.25	0	5.5	1.25	4.75	5.5	1.25	3.75	4.25	2	2.5	2.75	3	3	4.25	0.75	3	0.5	0.75	2.25	0	5.25	4.5	5.25	4	3	0	3	3.75	1.25	4.25	3.75	4.25	4	2.75	4.5	2	5.5	1.75	2.5	1	3	2.5	3.5	0	3.5	0.5	4.75	1.5	1.5	3.25	1.25	3.5	3.25	6	7	6	1	0	3	1	1	3	2	5	1	1	3	6	4	1	0	4	0
prel_17	1	1.75	3.5	6	2.75	0	2	2.75	2	0	5.5	1.5	5.25	4.666666667	1	4.5	2.75	1.75	3	3	3.25	3	5.25	1.25	3.5	1.25	1.25	2.75	0	4.75	4.5	4	4.25	2.75	0.5	3.25	3.75	1.5	4.5	3	4	3.25	3.5	4.25	2.5	6.5	2.5	3.25	1	2.25	3.75	3.75	0	4	0.5	4.75	3	1	3.75	1.5	2.5	3.25	7	3	6	4	9	3	2	3	8	5	5	5	4	3	6	6	6	7	5	6
prel_18	1	1.25	3.75	6.25	2.75	0	2.5	2.75	1.5	2.75	5.25	2	3.25	4.666666667	3.75	4.75	8	3.75	3.75	4	3.75	3	5.75	1	5.5	2.75	1	2.25	1.75	5.75	4.25	5	5	2.5	0.75	4.75	2.75	1.5	4	4	5	1.5	2	4.75	2.5	6	2.5	2.5	4.25	3.5	8	4	0.25	5.25	0.5	6.5	2.5	1.5	3.75	3.25	4.25	2.75	5	2	5	2	7	2	2	3	9	3	6	6	2	7	4	6	3	6	4	2
prel_19	1	1.75	4.25	6	2.5	0	2.25	3.25	1.75	0	7	2.75	5.25	4	1	4.75	3.75	2	4.25	3.75	4.5	3.75	5.25	1.5	3.5	1	1.5	2.25	0	4.25	5.25	4.5	4.5	3.25	0.75	4.25	5	1.75	5	3.25	4.25	4	3.75	4.5	2.25	7	3	3.25	1	2.25	3.25	3.75	0	5.25	0.5	5	3.5	1.75	3.5	2	3.75	4.25	5	3	7	3	1	1	1	1	6	7	4	1	2	2	2	6	2	0	5	2
prel_20	1	0.75	3.75	4	2	0	3	3.5	2	0	6.25	1.75	4.25	5.5	1.25	3.75	4	2.25	3.75	3	3.5	3	4.25	0.25	3.5	1	0.5	2.25	0	5.25	4.5	4.5	4	3	0	3.25	5	2.25	4.5	3.25	4.75	4.25	3.25	4.25	0.75	5.75	2	2.25	1	3	2	3.5	0	3.5	0.5	4.75	1.75	1.75	3	1	3.5	2.75	6	3	4	3	9	0	2	0	3	0	0	1	1	4	2	5	3	0	4	4
																																																																																		
