sample	target	subject	297	274	276	294	275	259	298	278	279	299	247	214	293	269	272	260	283	282	287	291	273	268	290	234	211	254	257	235	240	236	216	288	280	300	231	245	246	215	261	212	218	217	253	262	239	244	251	249	252	248	256	232	221	220	238	237	241	243	242	250	258
prel_1	1	1	0	5	7	4	0	1	6	0	0	8	8	6	9	5	4	2	7	8	4	5	3	5	3	5	0	0	5	3	10	6	8	3	6	0	6	9	8	5	5	7	5	4	5	1	4	6	0	7	3	5	5	0	1	0	7	3	3	4	1	5	2
prel_2	1	1	0	2	5	1	0	0	5	0	0	4	0	4	2	4	2	2	3	3	4	5	1	4	0	4	0	0	5	0	4	5	2	3	4	0	3	2	3	4	2	3	3	3	3	0	4	3	0	1	1	0	4	0	0	0	4	2	2	3	0	1	0
prel_5	1	1	0	4	3	1	0	0	3	0	0	5	0	6	1	4	3	2	2	3	2	6	2	4	0	4	0	0	5	0	1	5	5	3	4	0	2	2	3	3	3	2	5	2	3	0	4	2	0	2	3	0	4	0	0	0	5	1	2	4	1	5	0
prel_6	1	1	0	4	3	2	0	0	4	0	0	8	4	5	4	6	5	5	5	6	5	6	3	4	1	4	5	0	5	1	2	5	5	3	5	1	4	3	3	5	5	3	5	5	4	1	4	5	0	3	4	0	4	2	0	0	5	2	3	5	1	2	1
prel_9	1	1	0	6	8	3	0	3	5	0	0	8	7	6	6	7	8	8	7	6	6	7	5	6	3	5	7	1	5	1	9	6	6	5	9	1	6	10	9	6	5	8	8	8	5	3	1	8	1	6	5	0	5	3	1	3	9	5	7	5	8	2	5
prel_10	1	1	1	8	7	2	0	2	4	0	0	8	7	6	3	7	7	8	4	7	5	7	5	5	5	8	6	2	5	0	4	6	6	4	5	0	8	8	6	6	6	6	7	9	5	3	4	5	3	7	5	0	5	1	1	0	9	3	5	7	8	2	5
prel_13	1	1	0	7	6	3	0	0	5	0	0	8	NA	6	3	6	4	6	5	7	3	8	4	5	1	4	6	0	5	2	8	5	4	4	5	0	2	5	5	6	6	4	6	6	4	1	6	7	0	6	3	4	5	0	2	0	7	3	3	5	4	6	1
prel_14	1	1	0	4	5	2	0	1	4	0	0	7	6	6	3	5	4	5	6	7	4	7	3	4	0	4	5	0	5	0	4	5	4	3	6	1	3	4	7	5	3	5	7	7	4	0	5	6	0	2	3	0	5	0	0	0	5	2	3	2	3	2	3
prel_17	1	1	2	2	4	1	0	0	4	0	0	6	0	4	6	4	4	3	4	3	3	4	1	4	0	3	0	0	5	0	1	4	3	3	5	0	5	2	2	3	2	2	4	4	3	0	4	2	0	4	2	0	4	1	0	0	5	2	4	2	2	1	1
prel_18	1	1	1	3	6	1	0	1	5	0	0	4	7	4	6	6	4	3	6	5	4	5	3	4	0	3	3	0	6	0	7	5	3	4	5	0	3	4	2	4	2	3	7	6	4	0	5	2	0	7	4	3	4	1	1	0	5	3	3	3	2	5	1
prel_3	0	1	0	3	4	1	0	0	3	0	0	4	1	4	3	4	3	2	3	3	2	3	4	4	0	4	0	0	5	0	3	5	4	3	4	0	2	2	3	4	3	2	4	2	3	0	4	5	0	2	1	0	4	0	0	0	4	1	2	3	1	1	0
prel_4	0	1	0	4	4	1	0	0	4	0	0	7	1	6	3	4	3	6	2	3	4	6	2	4	0	6	0	0	5	1	2	5	4	2	4	0	2	2	3	4	4	3	4	2	3	2	5	3	0	2	3	0	4	0	1	0	5	3	2	4	1	4	1
prel_7	0	1	0	3	3	2	0	0	4	0	0	6	3	4	0	6	3	3	3	2	3	3	1	4	0	7	0	0	5	0	4	5	3	3	4	0	3	2	3	4	5	4	5	5	4	0	4	3	0	2	2	0	4	0	0	0	7	2	2	4	1	2	0
prel_8	0	1	0	3	3	2	0	0	4	0	0	7	0	5	3	4	3	4	3	3	4	4	2	4	0	4	4	0	5	0	2	4	3	3	4	0	2	2	4	4	4	4	6	6	4	0	4	2	0	2	2	0	4	2	0	0	4	1	2	3	1	2	1
prel_11	0	1	0	3	4	1	0	0	4	0	0	5	1	5	2	5	4	3	4	3	3	4	2	4	0	4	4	0	5	0	2	4	3	3	6	0	3	3	3	4	2	4	6	4	4	0	4	3	0	2	1	0	4	0	0	0	5	2	3	3	1	1	1
prel_12	0	1	1	3	5	1	0	0	6	0	0	7	NA	4	4	6	3	4	3	6	3	6	1	5	0	6	6	0	5	0	0	4	3	3	5	0	3	4	6	4	2	6	6	3	4	0	4	2	0	7	1	0	4	0	0	0	5	0	1	4	1	1	1
prel_15	0	1	0	6	5	2	0	1	4	0	0	8	8	6	4	8	7	3	6	6	4	6	2	5	1	6	6	0	5	0	7	6	6	4	7	0	5	7	6	6	2	6	7	6	5	2	6	3	0	7	4	7	4	0	2	0	7	3	5	3	3	3	3
prel_16	0	1	1	3	5	1	0	0	3	0	0	6	6	5	1	4	5	4	4	5	3	5	2	4	1	4	2	0	5	0	1	6	3	3	5	0	4	6	3	4	4	3	5	3	4	0	5	3	0	3	4	0	4	0	1	0	5	3	4	4	2	1	2
prel_19	0	1	0	3	4	1	0	0	7	0	0	4	1	5	5	4	4	4	4	5	3	5	3	4	0	4	3	0	4	0	0	5	3	3	7	0	3	2	2	5	2	4	6	5	4	0	4	2	0	4	1	2	4	1	1	0	5	1	4	2	1	2	1
prel_20	0	1	0	3	3	1	NA	0	5	0	0	5	3	4	0	4	4	3	4	4	3	5	1	4	10	5	0	0	6	0	2	4	4	3	5	0	4	2	2	4	2	3	5	3	4	0	4	2	0	3	3	0	4	0	0	0	5	1	3	1	1	2	0
