sample	target	subject	161	159	129	107	108	144	158	105	109	103	124	140	119	115	132	131	146	145	139	165	138	118	160	102	127	114	117	141	104	143	125	157	149	155	110	150	106	162	161
prel_1	0	0	2	1	1	3	3	0	3	NA	5	7	3	0	1	6	4	3	3	1	3	6	0	1	0	2	2	0	1	0	4	3	5	3	3	2	1	NA	3	0	1
prel_2	0	0	2	1	1	2	2	0	4	0	3	5	3	0	1	2	3	2	2	1	1	1	0	2	0	3	2	0	1	0	4	3	3	3	2	5	0	NA	2	1	1
prel_5	0	0	2	1	1	2	3	0	2	0	2	5	3	0	1	6	3	3	1	1	2	1	0	2	0	3	2	0	0	0	5	2	3	4	2	2	0	NA	2	1	1
prel_6	0	0	2	4	5	2	5	2	6	0	6	6	3	0	3	5	3	3	4	2	4	1	0	0	0	5	3	1	1	0	5	4	4	6	2	6	0	NA	2	2	2
prel_9	0	0	3	6	6	2	5	1	4	0	3	6	3	0	1	2	3	3	3	2	4	1	0	3	0	5	2	1	1	1	5	6	5	4	4	1	0	NA	3	3	1
prel_10	0	0	2	2	2	1	3	2	2	0	2	5	3	0	1	2	3	2	3	2	1	1	0	2	0	3	2	0	1	0	5	3	3	3	3	5	0	NA	1	2	1
prel_13	0	0	2	5	6	5	8	4	4	3	3	7	3	0	4	4	3	3	6	2	2	1	0	1	10	6	2	0	5	1	4	3	4	6	4	4	1	NA	2	1	1
prel_14	0	0	2	6	4	5	6	2	2	5	6	6	3	0	3	4	4	5	4	2	6	2	10	3	7	6	3	0	6	1	5	7	4	9	6	2	2	NA	2	5	1
prel_17	0	0	2	4	1	2	4	0	1	0	2	4	3	0	0	2	3	2	5	1	0	1	0	1	6	3	2	0	2	0	4	2	3	3	2	1	1	NA	4	1	1
prel_18	0	0	1	4	2	1	3	0	2	1	2	6	3	0	1	3	3	3	5	1	2	1	0	2	0	4	2	0	1	0	4	4	4	4	2	4	1	NA	2	2	1
prel_3	1	0	2	2	1	2	2	2	6	0	3	7	3	0	1	2	3	2	2	1	2	1	0	0	0	5	2	0	2	0	4	3	4	4	3	4	0	NA	3	2	2
prel_4	1	0	3	5	6	4	8	0	7	2	7	7	3	1	1	5	3	3	6	0	5	2	0	3	5	6	3	2	6	0	5	4	6	8	5	7	1	NA	4	1	2
prel_7	1	0	2	2	1	2	2	6	5	0	3	6	3	0	1	6	4	3	2	1	1	1	10	5	0	3	2	0	1	0	4	2	5	2	3	3	0	NA	3	3	1
prel_8	1	0	2	2	5	2	6	3	8	1	6	6	3	0	1	3	5	3	2	1	3	2	10	3	0	5	3	2	3	1	4	7	5	6	8	6	1	NA	3	5	1
prel_11	1	0	2	3	6	5	2	3	3	3	3	7	3	0	3	3	4	3	3	2	2	1	10	3	10	6	3	3	5	0	4	8	3	9	8	6	0	NA	5	5	1
prel_12	1	0	2	4	4	2	5	1	3	3	5	5	3	1	3	4	3	3	3	2	3	1	10	2	3	4	2	3	1	0	5	5	5	6	5	6	0	NA	1	3	1
prel_15	1	0	2	3	2	5	3	4	2	2	4	8	3	0	1	2	3	2	2	2	0	1	0	1	4	4	2	0	1	0	4	3	4	4	8	7	0	NA	3	4	1
prel_16	1	0	2	7	3	4	3	4	8	3	6	5	3	1	6	3	4	6	3	2	2	1	5	4	4	5	2	3	2	0	5	8	5	3	4	7	1	NA	1	2	2
prel_19	1	0	1	2	4	2	6	2	3	0	3	5	3	0	4	3	5	3	3	1	1	1	0	2	0	4	3	0	4	0	4	4	5	7	1	3	0	NA	2	2	1
prel_20	1	0	1	2	3	1	3	4	4	2	4	6	3	0	1	3	3	3	3	1	1	1	0	1	9	5	2	0	2	0	4	3	3	3	3	4	1	NA	2	0	1
